J.H. Kim;Determination of Basic Wind Velocity for Wind Load-governed Limit State
Igor Kavrakov;A CFD Study on the Influence of  Deterministic Gusts on the Flutter Velocity of Bridge Decks
S. Maheux;Flutter Analysis Using Quasi-Steady Time-Domain Flutter Derivatives
DP Philipps;TwentyTwo Bishopsgate, London
N Petrioli;London Expanding - Adding Value Through Fine Engineering
Jeffrey Smilow;Designing buildings to deliver city densification over transport infrastructure
Pierre-Olivier Dallaire;Strategy to Assess the Aerodynamic Performance of the Golden Gate Bridge during the Planned Seismic
K Mermigas;Burlington Bay Skyway Hanger Fail-Safe System
Ryo Nakata;Proactive Maintenance Method for Fatigue Cracks to Steel Bridge Deck without Traffic Disruption
R. Navalurkar;Brooklyn Bridge Rehabilitation Program
Caroline Bouvet;Lanciau Bridge – First spatial tubular truss railway bridge
S.B. Cox;Shaded Dome: A Hybrid Air-Supported – Tensile Membrane Structure
Y-W JO;Pier 55, NYC: A Case Study for the Future of Design, Documentation and Fabrication
Mohamed ElGawady;Influence of Water, Alkali Activators, and Curing Regime on the Workability and Compressive Strength
Yoshimichi Kawai;Steel Sheet Shear Walls with Burring Holes for Low- to Mid-Rise Housings
M. A. Elgawady;Fresh and Mechanical Properties of  Zero-Cement One-Part Geopolymer Mortar and Concrete
